#item+conceptum+codicem,#status,#item+conceptum+dominium,#item+rem+i_la+i_lat+is_latn,#status+rem+accuratum+i_la+i_lat+is_latn,#status+rem+textum+i_la+i_lat+is_latn,#item+rem+i_pt+i_por+is_latn,#status+rem+accuratum+i_pt+i_por+is_latn,#status+rem+textum+i_pt+i_por+is_latn,#item+rem+i_en+i_eng+is_latn,#status+rem+accuratum+i_en+i_eng+is_latn,#status+rem+textum+i_en+i_eng+is_latn,#item+rem+i_es+i_spa+is_latn,#status+rem+accuratum+i_es+i_spa+is_latn,#status+rem+textum+i_es+i_spa+is_latn,#item+rem+i_ar+i_arb+is_arab,#status+rem+accuratum+i_ar+i_arb+is_arab,#status+rem+textum+i_ar+i_arb+is_arab,#item+rem+i_hi+i_hin+is_deva,#status+rem+accuratum+i_hi+i_hin+is_deva,#status+rem+textum+i_hi+i_hin+is_deva,#item+rem+i_sl+i_slv+is_latn,#status+rem+accuratum+i_sl+i_slv+is_latn,#status+rem+textum+i_sl+i_slv+is_latn
Hapi_api_UN_reliefweb_nomen,1,,,,,ReliefWeb - Informando humanitários em todo o mundo,6,lat_rem_temporarium,ReliefWeb - Informing humanitarians worldwide,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_UN_reliefweb_titulum,1,,,,,ReliefWeb - Informando humanitários em todo o mundo,6,lat_rem_temporarium,ReliefWeb - Informing humanitarians worldwide,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_UN_reliefweb_slug,1,,,,,reliefweb,6,lat_rem_temporarium,reliefweb,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_XZ_HXL-Proxy_abbreviationem,1,,,,,HXL-Proxy,6,lat_rem_temporarium,HXL-Proxy,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_XZ_HXL-Proxy_nomen,1,,,,,Proxy da Linguagem de Intercâmbio Humanitária,6,lat_rem_temporarium,Proxy of the Humanitarian Exchange Language,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_XZ_HXL-Proxy_titulum,1,,,,,HXL-Proxy - Proxy da Linguagem de Intercâmbio Humanitária,6,lat_rem_temporarium,HXL-Proxy - Proxy of the Humanitarian Exchange Language,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_XZ_HXL-Proxy_slug,1,,,,,HXL-Proxy,6,lat_rem_temporarium,HXL-Proxy,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_BR_portais-ckan-brasil_abbreviationem,1,,,,,CKAN-BR,6,lat_rem_temporarium,CKAN-BR,6,lat_rem_temporarium,,,,,,,,,,,,
Hapi_api_BR_portais-ckan-brasil_nomen,1,,,,,Portais CKAN de dados abertos no Brasil,6,lat_rem_temporarium,Brazilian CKAN open data portals,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
Hapi_api_BR_portais-ckan-brasil_titulum,1,,,,,Portais CKAN de dados abertos no Brasil,6,lat_rem_temporarium,Brazilian CKAN open data portals,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
Hapi_api_BR_portais-ckan-brasil_slug,1,,,,,portais-ckan-brasil,6,lat_rem_temporarium,brazilian-ckan-portals,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
Hapi_api_BR_portais-arcgis-brasil_abbreviationem,1,,,,,ArcGIS-BR,6,lat_rem_temporarium,ArcGIS-BR,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
Hapi_api_BR_portais-arcgis-brasil_nomen,1,,,,,Portais ArcGIS de dados abertos do Brasil,6,lat_rem_temporarium,Brazilian ArcGIS open data portals,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
Hapi_api_BR_portais-arcgis-brasil_titulum,1,,,,,Portais ArcGIS de dados abertos do Brasil,6,lat_rem_temporarium,Brazilian ArcGIS open data portals,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
Hapi_api_BR_portais-arcgis-brasil_slug,1,,,,,portais-arcgis-brasil,6,lat_rem_temporarium,brazilian-arcgis-portals,2,lat_rem_temporarium_de_non_nativum,,,,,,,,,,,,
