#item+id,#status,#item+type+lat_dominium+list,#item+type+lat_regnum,#item+type+lat_divisionem,#item+type+lat_classem,#item+type+lat_ordinem,#item+type+lat_familiam,#item+type+lat_genus,#item+type+lat_speciem,#item+type+lat_segmentum,#item+wikidata+code,#item+i_la+i_lat+is_latn,#item+i_pt+i_por+is_latn,#item+i_en+i_eng+is_latn,#item+i_es+i_spa+is_latn
L10N_linguam_ego_summarius,1,L10N,L10N,linguam,,,,ego,summarius,,,Lingua Latina (Abecedarium Latinum),English language (Latin script),Língua portuguesa (alfabeto latino),
Hapi_nomen,1,,Hapi,,,,,,nomen,,,Auxilium Humanitarium API documentōrum,Documentação interativa para APIs humanitárias,Augmented documentation for Humanitarian APIs,
Hapi_paginam_API_I_titulum,1,,Hapi,paginam,API,,,I,titulum,,,Documenta API (latine scripsit),Interactive API documented in English,API interativa documentada em português,
Hapi_paginam_API_commentarium_1,1,,Hapi,paginam,API,,,,commentarium,1,,,"Nota: esta seção permite pré- visualizar de forma interativa arquivos OpenAPI e até mesmo executar requisições do seu navegador sem sair do site hapi.etica.ai (algumas API inclusive documentadas em mais de um idioma!). Algumas documentações, seja pela API original ou por usarmos descrição original do site, podem ser escritas em primeira pessoa que, **obviamente**, não se trata de voluntários em compilar as documentações.","Note: this section allows you to interactively preview OpenAPI files and even execute requests from your browser without leaving the hapi.etica.ai website (some APIs even documented in more than one language!). Some documentation, either by the original API or by using the original description of the site, may be written in the first person, but obviously this is not the volunteers compiling the documentation.",
Hapi_paginam_API_commentarium_2,1,,Hapi,paginam,API,,,,commentarium,2,,,Exceção a esta regra são erros de tradução e/ou falhas em relação a atualizações mas APIs informadas aqui. Nesse caso nos avise!,"Exceptions to this rule are translation errors and / or failures in relation to updates but APIs reported here. In this case is our fault, not the API provider, so let us know!",
Hapi_ad_agendum_MMXXI_commentarium,1,,Hapi,,,,ad_agendum_MMXXI,,commentarium,,,,"Hapi (Alpha) centraliza documentação interativa de provedores de dados com potencial uso no meio humanitário. No momento provê APIs internacionais e do Brasil e nas línguas portuguesa e inglesa. Como usamos OpenAPI e Schemas, tem potencial para reusar trabalho anterior novas línguas e novos países!","Hapi (Alpha) centralizes interactive documentation of data providers with potential use for humanitarians. At the moment, the alpha version already have some international APIs and Brazilian ones while the documentation is both in Portuguese and English. Since we use OpenAPI and schemas, the way Hapi do allow reuse of previous work to, via volunteers interest, add new languages and countries!",
Hapi_ad_agendum_MMXXI_titulum,1,,Hapi,,,,ad_agendum_MMXXI,,titulum,,,,Hapi: Documentação interativa de APIs para uso humanitário <sup>alpha</sup>,Hapi: Augmented APIs documentation for humanitarian use <sup>alpha</sup>,
Hapi_licentiam_Hapi_descriptionem,1,,Hapi,,,,licentiam,Hapi,descriptionem,,,Licentiam: [Dominium publicum](https://unlicense.org/).,"Na medida do possível sob a lei, as pessoas autoras de [HXL-CPLP](https://github.com/HXL-CPLP) e demais colaboradores voluntários renunciam todos os direitos autorais e direitos conexos ou vizinhos a este trabalho para o [domínio público](https://unlicense.org/).<!--TODO: o texto em português da licença é um rascunho. Ainda precisa ser revisado -->","The [HXL-CPLP](https://github.com/HXL-CPLP) and outside volunteers dedicated this work to the [public domain](https://unlicense.org/) by waiving all of their rights to the work worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law.<!--TODO: This license terms are a draft; Need to be reviewned -->",
Hapi_quaerere_nomen,1,,Hapi,,,,quaerere,,nomen,,,Hapiam quaerere,Pesquisar na Hapi,Search on Hapi,
